frame,root x,root y,root z
177,-0.299466,0.906311,2.671561
178,-0.299472,0.906311,2.671563
179,-0.299478,0.906311,2.671562
180,-0.299482,0.906312,2.671559
181,-0.299485,0.906314,2.671551
182,-0.299488,0.906318,2.67154
183,-0.299489,0.906322,2.671527
184,-0.29949,0.906326,2.671514
185,-0.29949,0.906329,2.6715
186,-0.299489,0.906332,2.671489
187,-0.299488,0.906334,2.671479
188,-0.299485,0.906336,2.671469
189,-0.299482,0.906337,2.67146
190,-0.299478,0.906338,2.671451
191,-0.299474,0.906339,2.671442
192,-0.299469,0.90634,2.671433
193,-0.299464,0.906341,2.671423
194,-0.299459,0.906341,2.671415
195,-0.299454,0.906342,2.671406
196,-0.299447,0.906343,2.671396
197,-0.29944,0.906343,2.671385
198,-0.29943,0.906345,2.671371
199,-0.299419,0.906347,2.671356
200,-0.299406,0.906349,2.671338
201,-0.299392,0.906352,2.671319
202,-0.299377,0.906354,2.671299
203,-0.299361,0.906357,2.671278
204,-0.299345,0.906359,2.671257
205,-0.299327,0.90636,2.671235
206,-0.299307,0.906361,2.671212
207,-0.299287,0.906362,2.671189
208,-0.299266,0.906363,2.671164
209,-0.299246,0.906364,2.671139
210,-0.299226,0.906365,2.671113
211,-0.299207,0.906365,2.671085
212,-0.299188,0.906365,2.671056
213,-0.29917,0.906366,2.671026
214,-0.299151,0.906366,2.670996
215,-0.299133,0.906367,2.670965
216,-0.299115,0.906368,2.670935
217,-0.299098,0.906371,2.670905
218,-0.299081,0.906374,2.670874
219,-0.299064,0.906378,2.670843
220,-0.299047,0.906382,2.670813
221,-0.299031,0.906385,2.670783
222,-0.299016,0.906388,2.670754
223,-0.299001,0.906391,2.670727
224,-0.298988,0.906393,2.670703
225,-0.298975,0.906394,2.670679
226,-0.298962,0.906396,2.670654
227,-0.298948,0.906397,2.670628
228,-0.298933,0.906398,2.670598
229,-0.298915,0.906397,2.670566
230,-0.298896,0.906396,2.670532
231,-0.298876,0.906395,2.670495
232,-0.298856,0.906393,2.670458
233,-0.298836,0.906392,2.670419
234,-0.298817,0.906392,2.67038
235,-0.298798,0.906393,2.67034
236,-0.298779,0.906393,2.670298
237,-0.298761,0.906395,2.670255
238,-0.298743,0.906397,2.670212
239,-0.298725,0.906399,2.670169
240,-0.298708,0.906402,2.670126
241,-0.298692,0.906406,2.670086
242,-0.298677,0.906412,2.670045
243,-0.298663,0.906418,2.670006
244,-0.298649,0.906424,2.669966
245,-0.298633,0.906429,2.669925
246,-0.298617,0.906433,2.669883
247,-0.298599,0.906436,2.66984
248,-0.29858,0.906438,2.669797
249,-0.298561,0.90644,2.669753
250,-0.298541,0.906441,2.669708
251,-0.29852,0.906442,2.669662
252,-0.298498,0.906443,2.669616
253,-0.298476,0.906444,2.66957
254,-0.298454,0.906444,2.669523
255,-0.298431,0.906445,2.669476
256,-0.298407,0.906445,2.669428
257,-0.298382,0.906447,2.669379
258,-0.298356,0.906449,2.669329
259,-0.298328,0.906452,2.669278
260,-0.2983,0.906456,2.669226
261,-0.29827,0.906461,2.669172
262,-0.29824,0.906466,2.669119
263,-0.298209,0.906471,2.669065
264,-0.298177,0.906477,2.669011
265,-0.298145,0.906484,2.668958
266,-0.298112,0.906491,2.668905
267,-0.298078,0.9065,2.668852
268,-0.298044,0.906507,2.668799
269,-0.298011,0.906515,2.668745
270,-0.297979,0.906522,2.66869
271,-0.297949,0.906527,2.668634
272,-0.297919,0.906532,2.668576
273,-0.297891,0.906537,2.668517
274,-0.297863,0.906541,2.668458
275,-0.297834,0.906545,2.668401
276,-0.297804,0.906549,2.668346
277,-0.297773,0.906553,2.668293
278,-0.297741,0.906555,2.668242
279,-0.297709,0.906558,2.668192
280,-0.297676,0.90656,2.668143
281,-0.297645,0.906563,2.668094
282,-0.297616,0.906565,2.668046
283,-0.297588,0.906569,2.667999
284,-0.297563,0.906572,2.667952
285,-0.297538,0.906575,2.667905
286,-0.297514,0.906578,2.66786
287,-0.297489,0.906581,2.667815
288,-0.297462,0.906584,2.66777
289,-0.297433,0.906587,2.667727
290,-0.297403,0.906589,2.667684
291,-0.297372,0.906591,2.667642
292,-0.297341,0.906594,2.6676
293,-0.297311,0.906596,2.667558
294,-0.297282,0.906599,2.667515
295,-0.297254,0.906602,2.667471
296,-0.297227,0.906605,2.667425
297,-0.297201,0.906609,2.667379
298,-0.297175,0.906612,2.667334
299,-0.297151,0.906616,2.667291
300,-0.297127,0.906619,2.66725
301,-0.297103,0.906622,2.667213
302,-0.29708,0.906624,2.667179
303,-0.297057,0.906626,2.667146
304,-0.297036,0.906629,2.667115
305,-0.297016,0.906631,2.667081
306,-0.296999,0.906634,2.667045
307,-0.296986,0.906637,2.667008
308,-0.296976,0.90664,2.666969
309,-0.296968,0.906644,2.666929
310,-0.29696,0.906647,2.666888
311,-0.296951,0.906651,2.666844
312,-0.296938,0.906655,2.666797
313,-0.296921,0.906659,2.666746
314,-0.296901,0.906663,2.66669
315,-0.29688,0.906667,2.666633
316,-0.296858,0.906671,2.666575
317,-0.296838,0.906676,2.666518
318,-0.29682,0.90668,2.666466
319,-0.296806,0.906684,2.666417
320,-0.296794,0.906688,2.666371
321,-0.296783,0.906693,2.666326
322,-0.296773,0.906697,2.666283
323,-0.296762,0.906702,2.666239
324,-0.296751,0.906706,2.666196
325,-0.29674,0.906711,2.666153
326,-0.296729,0.906716,2.666111
327,-0.296717,0.906721,2.666069
328,-0.296706,0.906726,2.666027
329,-0.296693,0.906731,2.665985
330,-0.296681,0.906735,2.665942
331,-0.296667,0.906739,2.6659
332,-0.296652,0.906742,2.665858
333,-0.296637,0.906745,2.665816
334,-0.296622,0.906748,2.665773
335,-0.296607,0.906751,2.665729
336,-0.296592,0.906754,2.665682
337,-0.296577,0.906758,2.665634
338,-0.296563,0.906763,2.665585
339,-0.296548,0.906767,2.665534
340,-0.296534,0.906772,2.665481
341,-0.29652,0.906777,2.665427
342,-0.296506,0.906783,2.665372
343,-0.296491,0.906789,2.665317
344,-0.296475,0.906796,2.66526
345,-0.296458,0.906803,2.665202
346,-0.296444,0.906811,2.665142
347,-0.296434,0.906818,2.665079
348,-0.296429,0.906825,2.665015
349,-0.296429,0.906833,2.664946
350,-0.29643,0.90684,2.664875
351,-0.296436,0.906848,2.664801
352,-0.296447,0.906855,2.664726
353,-0.296465,0.906862,2.66465
354,-0.296491,0.906868,2.664575
355,-0.296524,0.906873,2.6645
356,-0.296561,0.906877,2.664425
357,-0.296604,0.906881,2.664349
358,-0.296658,0.906884,2.664273
359,-0.296723,0.906887,2.664196
360,-0.296803,0.906891,2.664118
361,-0.296896,0.906897,2.664041
362,-0.296998,0.906904,2.663965
363,-0.297112,0.906912,2.663889
364,-0.297241,0.906918,2.66381
365,-0.297388,0.90692,2.663728
366,-0.297554,0.906918,2.663639
367,-0.297734,0.906911,2.663541
368,-0.297924,0.906903,2.663433
369,-0.298132,0.906891,2.663321
370,-0.298364,0.906874,2.663211
371,-0.298627,0.906851,2.663106
372,-0.298927,0.90682,2.663011
373,-0.299262,0.906779,2.66292
374,-0.299625,0.906729,2.662825
375,-0.300019,0.906673,2.662737
376,-0.300445,0.906613,2.662663
377,-0.300907,0.906552,2.662612
378,-0.301407,0.906491,2.662595
379,-0.301941,0.906431,2.662607
380,-0.302507,0.906369,2.66264
381,-0.303108,0.906306,2.662697
382,-0.303747,0.906241,2.66278
383,-0.304429,0.906173,2.662891
384,-0.305155,0.906103,2.663033
385,-0.305926,0.906033,2.663201
386,-0.306739,0.905962,2.663392
387,-0.307593,0.905889,2.663612
388,-0.308489,0.905811,2.663865
389,-0.309428,0.905728,2.664157
390,-0.310408,0.905638,2.664494
391,-0.311443,0.905543,2.664896
392,-0.312534,0.905446,2.665366
393,-0.313668,0.905343,2.665874
394,-0.314828,0.905231,2.666394
395,-0.316002,0.905106,2.666896
396,-0.317174,0.904963,2.667352
397,-0.318364,0.904796,2.667766
398,-0.319587,0.904605,2.668159
399,-0.320822,0.904401,2.668535
400,-0.322051,0.904194,2.668897
401,-0.323251,0.903995,2.669248
402,-0.324403,0.903812,2.669592
403,-0.325517,0.903642,2.669898
404,-0.326609,0.903475,2.670157
405,-0.327674,0.903316,2.670406
406,-0.328704,0.903168,2.67068
407,-0.329691,0.903034,2.671015
408,-0.33063,0.902919,2.671446
409,-0.331524,0.902819,2.671945
410,-0.33238,0.902729,2.672479
411,-0.333195,0.902654,2.673073
412,-0.333963,0.902598,2.673754
413,-0.33468,0.902565,2.674548
414,-0.335342,0.902561,2.675482
415,-0.335941,0.902592,2.676565
416,-0.336479,0.902659,2.67778
417,-0.336966,0.902748,2.679109
418,-0.337413,0.90285,2.680532
419,-0.337829,0.902953,2.682032
420,-0.338226,0.903045,2.683591
421,-0.338603,0.903139,2.685212
422,-0.338952,0.903248,2.686909
423,-0.339271,0.903358,2.688683
424,-0.339558,0.903455,2.690535
425,-0.339811,0.903525,2.692465
426,-0.340028,0.903554,2.694474
427,-0.340211,0.903544,2.696545
428,-0.340363,0.903504,2.698673
429,-0.34048,0.903437,2.70088
430,-0.340561,0.903346,2.703186
431,-0.340604,0.903234,2.705612
432,-0.340606,0.903103,2.708178
433,-0.340566,0.902945,2.710879
434,-0.340485,0.902756,2.713699
435,-0.340365,0.902547,2.716638
436,-0.34021,0.902324,2.719698
437,-0.34002,0.902096,2.722881
438,-0.339798,0.901871,2.726187
439,-0.33954,0.90165,2.729612
440,-0.339242,0.901425,2.733151
441,-0.33891,0.901196,2.736813
442,-0.33855,0.90096,2.740605
443,-0.338165,0.900717,2.744534
