10.8,5.86363,-1.63971,0.996613,0.082229
10.9,6.02747,-1.62518,0.996303,0.085905
11,6.19076,-1.61011,0.995984,0.0895327
11.1,6.35353,-1.5945,0.995656,0.0931113
11.2,6.51576,-1.57836,0.995319,0.0966399
11.3,6.67743,-1.56165,0.994963,0.100246
11.4,6.83801,-1.54385,0.994445,0.105253
11.5,6.9975,-1.52497,0.993637,0.112629
11.6,7.15594,-1.50503,0.992777,0.119974
11.7,7.31334,-1.48405,0.991866,0.127287
11.8,7.46853,-1.46086,0.990525,0.137333
11.9,7.62091,-1.43486,0.987988,0.154528
12,7.76878,-1.40434,0.983788,0.179335
12.1,7.91133,-1.3685,0.976432,0.215827
12.2,8.04803,-1.32681,0.965723,0.259574
12.3,8.17829,-1.27867,0.950804,0.309792
12.4,8.30143,-1.2234,0.930066,0.367392
12.5,8.41668,-1.16024,0.901364,0.433062
12.6,8.5232,-1.08835,0.86198,0.506942
12.7,8.61956,-1.00628,0.807702,0.589592
12.8,8.70364,-0.911927,0.730859,0.682528
12.9,8.77535,-0.805199,0.630297,0.776354
13,8.83461,-0.686009,0.520333,0.853964
13.1,8.88129,-0.554231,0.407555,0.913181
13.2,8.9152,-0.409672,0.29771,0.954656
13.3,8.94211,-0.258107,0.210157,0.977668
13.4,8.96598,-0.103499,0.167326,0.985902
13.5,8.98701,0.0539503,0.145784,0.989316
13.6,9.00537,0.214064,0.126196,0.992005
13.7,9.02123,0.376688,0.108285,0.99412
13.8,9.03471,0.541694,0.0918026,0.995777
13.9,9.04624,0.70865,0.077218,0.997014
14,9.05684,0.876537,0.0669312,0.997758
14.1,9.06655,1.04532,0.0611464,0.998129
14.2,9.07539,1.21496,0.0556272,0.998452
14.3,9.0834,1.38544,0.0503481,0.998732
14.4,9.09061,1.55673,0.0452857,0.998974
14.5,9.09713,1.7287,0.040646,0.999174
14.6,9.10324,1.90109,0.0370791,0.999312
14.7,9.10892,2.0739,0.0345307,0.999404
14.8,9.11419,2.24712,0.0320543,0.999486
14.9,9.11907,2.42073,0.0296449,0.99956
15,9.12355,2.59474,0.0272972,0.999627
15.1,9.12773,2.76906,0.0251577,0.999683
15.2,9.13167,2.94361,0.0234935,0.999724
15.3,9.13538,3.1184,0.0221145,0.999755
15.4,9.13886,3.29342,0.0207628,0.999784
15.5,9.14211,3.46866,0.0194368,0.999811
15.6,9.14514,3.64412,0.0181348,0.999836
15.7,9.14801,3.81975,0.0169544,0.999856
15.8,9.15072,3.99553,0.0160124,0.999872
15.9,9.15328,4.17147,0.0151269,0.999886
16,9.15569,4.34756,0.0142538,0.999898
16.1,9.15795,4.52379,0.0133923,0.99991
16.2,9.16006,4.70017,0.0125516,0.999921
16.3,9.16208,4.87666,0.0118036,0.99993
16.4,9.16398,5.05325,0.0111894,0.999937
16.5,9.16578,5.22995,0.0105816,0.999944
16.6,9.16747,5.40675,0.00998003,0.99995
16.7,9.16906,5.58366,0.00938428,0.999956
16.8,9.17056,5.76065,0.00882038,0.999961
16.9,9.17199,5.93772,0.00834315,0.999965
17,9.17335,6.11486,0.00792831,0.999969
17.1,9.17463,6.29207,0.00751684,0.999972
17.2,9.17584,6.46936,0.00710866,0.999975
17.3,9.17699,6.64671,0.00670356,0.999977
17.4,9.17807,6.82412,0.00633348,0.99998
17.5,9.17911,7.00158,0.00603661,0.999982
17.6,9.1801,7.17909,0.00575502,0.999983
17.7,9.18104,7.35665,0.00547515,0.999985
17.8,9.18193,7.53426,0.00519696,0.999987
17.9,9.18278,7.71191,0.00493152,0.999988
18,9.18361,7.88958,0.00473631,0.999989
18.1,9.18442,8.06726,0.00463502,0.999989
18.2,9.18521,8.24497,0.00453411,0.99999
18.3,9.18599,8.42269,0.00443356,0.99999
18.4,9.18674,8.60043,0.0043334,0.999991
18.5,9.18765,8.77802,0.00453994,0.99999
18.6,9.18882,8.95534,0.00559518,0.999984
18.7,9.19026,9.13239,0.0071212,0.999975
18.8,9.19197,9.30918,0.00864382,0.999963
